filename,width,height,class,xmin,ymin,xmax,ymax
a3ed964c-36f1-403c-8146-b2a3b79a352d___RS_Early.B 8310.JPG,256,256,Potato___Early_blight,20,31,221,241
a3e80876-49cd-4856-9253-8df14fc36dcd___RS_LB 3851.JPG,256,256,Potato___Late_blight,16,18,221,249
a3ec91aa-8503-4711-a912-0d1427e25686___RS_HL 5409.JPG,256,256,healthy,28,21,246,241
a4168403-2458-4f28-84f7-949050905878___RS_Early.B 8450.JPG,256,256,Potato___Early_blight,40,26,227,241
a3fe02f0-6d49-4e9a-ba9a-ac26e8b65ca9___RS_Early.B 7560.JPG,256,256,Potato___Early_blight,13,25,227,242
a4534f9b-87ca-4ce0-a6f8-84f94544ef37___RS_LB 2775.JPG,256,256,Potato___Late_blight,19,20,246,241
a440233c-0ef8-408f-8ebb-1c12e8bc4464___RS_LB 4768.JPG,256,256,Potato___Late_blight,8,3,243,254
a41c6816-0755-4e55-b589-42b665a97a02___RS_Early.B 7064.JPG,256,256,Potato___Early_blight,27,19,216,223
a4ac4e39-1342-4b1d-806a-98789876a701___RS_Early.B 8953.JPG,256,256,Potato___Early_blight,11,12,245,246
a4cc86e3-ac4d-4b72-89a2-6cf106831908___RS_Early.B 7346.JPG,256,256,Potato___Early_blight,34,26,245,233
a5050bde-febc-4931-b31d-45c9652df318___RS_HL 5373.JPG,256,256,healthy,12,21,241,249
a4d1d8cb-26a2-413f-a229-021e2eea87ac___RS_HL 1819.JPG,256,256,healthy,56,9,236,234
a5028ead-ac95-4a90-89cb-aaac512d502a___RS_LB 3957.JPG,256,256,Potato___Late_blight,20,1,245,256
a5a6ebeb-2535-441d-acf5-33bce305fa14___RS_LB 3304.JPG,256,256,Potato___Late_blight,14,15,256,246
a50c5f93-a5db-4eaf-9d82-2e420d2351e7___RS_Early.B 7060.JPG,256,256,Potato___Early_blight,11,25,240,231
a5aabda7-209a-4e1e-966c-de2a1ccc7869___RS_LB 5046.JPG,256,256,Potato___Late_blight,26,13,242,256
a5b278e7-448e-40ae-80c2-d286f2681d10___RS_Early.B 7900.JPG,256,256,Potato___Early_blight,22,7,228,219
a5e73fd4-6d3e-4037-b440-f4e5234e4459___RS_Early.B 7645.JPG,256,256,Potato___Early_blight,26,24,214,229
a601dd4d-4e81-4327-9e4e-fd19262a1306___RS_Early.B 8265.JPG,256,256,Potato___Early_blight,19,20,222,222
a60106e3-e037-495f-8b5a-080adcb9bdd9___RS_Early.B 8561.JPG,256,256,Potato___Early_blight,30,25,219,231
a6995958-6344-4d37-9b99-d3bc3d40ab67___RS_Early.B 7210.JPG,256,256,Potato___Early_blight,23,34,207,226
a69b634c-1bb1-4098-9da0-8393f9b8d6e1___RS_LB 5120.JPG,256,256,Potato___Late_blight,12,2,239,243
a6623827-bcdc-40ed-81e6-5cde1a1da997___RS_LB 3179.JPG,256,256,Potato___Late_blight,12,7,242,246
a6dbc59a-ca8a-40e0-a896-3e2270d771bb___RS_Early.B 7195.JPG,256,256,Potato___Early_blight,15,20,232,220
a6b27bfe-0e60-4984-98ca-af4b2316dfff___RS_LB 3881.JPG,256,256,Potato___Late_blight,28,17,248,256
a6f75dd1-c290-4116-be6a-e3c94e40aa2a___RS_LB 3265.JPG,256,256,Potato___Late_blight,11,17,246,244
a7097c51-bb53-4149-8140-4b9c3d94dbd4___RS_LB 4108.JPG,256,256,Potato___Late_blight,35,9,222,256
a6fef9f4-0006-4faa-95ab-3aadde49b229___RS_Early.B 8783.JPG,256,256,Potato___Early_blight,23,19,239,244
a74a91d8-1a9d-4fa8-bc4b-26a32635a84d___RS_LB 3840.JPG,256,256,Potato___Late_blight,14,18,245,239
a7dad20a-b0c0-408b-a961-17928319e17f___RS_LB 4645.JPG,256,256,Potato___Late_blight,14,39,223,221
a838f0ba-745a-4c0b-9895-f3349a6cee4a___RS_LB 4959.JPG,256,256,Potato___Late_blight,13,27,253,236
a7dc8b54-5e4a-4055-ae98-eba4268cf966___RS_LB 5243.JPG,256,256,Potato___Late_blight,17,4,246,235
a801f66c-b8bc-42e5-ad5b-99f68d219fa9___RS_Early.B 8552.JPG,256,256,Potato___Early_blight,12,22,236,243
a84f32fc-ec8a-42e9-9f43-9efcf6493199___RS_LB 4884.JPG,256,256,Potato___Late_blight,26,1,233,242
a85029ca-881b-45a8-bb64-d8c77492a49d___RS_Early.B 8833.JPG,256,256,Potato___Early_blight,14,7,248,238
a88a6388-09fa-4cfc-a82e-94d5fd3b4972___RS_LB 2748.JPG,256,256,Potato___Late_blight,13,15,233,239
a8933319-d98e-4e71-a2ac-e22f7e1bca08___RS_Early.B 7499.JPG,256,256,Potato___Early_blight,35,11,246,247
a896e0bb-67a4-4762-b74a-1c58b14622b0___RS_LB 5013.JPG,256,256,Potato___Late_blight,26,10,227,241
a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG,256,256,healthy,15,11,233,230
a89d6e67-d60e-49b5-8b87-e137b6a5181c___RS_Early.B 7472.JPG,256,256,Potato___Early_blight,16,16,235,227
a904edc1-4c4d-4171-a46e-ae914010884b___RS_LB 4373.JPG,256,256,Potato___Late_blight,10,13,256,236
a8db407c-12cb-460c-991a-8f60d20c06bc___RS_LB 5117.JPG,256,256,Potato___Late_blight,18,10,235,244
a8f16f61-a090-4b29-9569-5e7d0e17fda5___RS_LB 4460.JPG,256,256,Potato___Late_blight,4,28,240,241
a938ba0c-780a-41e0-b26c-3c6b87047ac6___RS_Early.B 6878.JPG,256,256,Potato___Early_blight,22,11,247,244
a9659799-4093-4d84-855e-2f4382729c01___RS_Early.B 8784.JPG,256,256,Potato___Early_blight,15,8,240,249
a9c8a264-33be-48f1-bd1d-2cc6c9c8e247___RS_LB 4888.JPG,256,256,Potato___Late_blight,34,17,243,248
a9d4290d-55a1-4a8d-83a8-5277a00e5fbc___RS_LB 4076.JPG,256,256,Potato___Late_blight,9,25,232,238
aa04db6d-645f-4e8a-88dc-c9f9396f0800___RS_HL 1975.JPG,256,256,healthy,47,15,221,255
aa0ad1ba-f08a-4376-82a1-fec51fbf6810___RS_Early.B 7478.JPG,256,256,Potato___Early_blight,16,14,246,245
aa246de3-c183-4133-b4a9-2eba3fe3ae56___RS_LB 2951.JPG,256,256,Potato___Late_blight,16,15,227,223
aa58c1c8-82a1-4e68-9ecb-3cd47341d09b___RS_LB 4331.JPG,256,256,Potato___Late_blight,58,19,230,231
aa342b8f-88f5-4d9d-9740-4b1b4147c590___RS_Early.B 7939.JPG,256,256,Potato___Early_blight,23,18,228,244
aaa394b2-f7d5-41a5-97eb-acc4068ef72d___RS_Early.B 9155.JPG,256,256,Potato___Early_blight,28,19,227,241
aa7e5986-6fa1-4b25-9861-cbae56886280___RS_Early.B 8545.JPG,256,256,Potato___Early_blight,21,25,221,231
aa687aac-2f1a-44d8-89aa-3f7d413b4763___RS_Early.B 8055.JPG,256,256,Potato___Early_blight,14,30,221,238
aaf6fed2-0c7d-47b5-99df-bb6950092fe5___RS_LB 2723.JPG,256,256,Potato___Late_blight,23,18,238,223
ab23a940-3124-4101-b562-08ca34a8334b___RS_Early.B 7790.JPG,256,256,Potato___Early_blight,13,13,245,226
ab0878eb-0310-4788-b2d7-14102cdd241e___RS_Early.B 7026.JPG,256,256,Potato___Early_blight,29,29,220,230
ab72ec63-290e-4e95-ab0a-b551ed44ab3b___RS_LB 3286.JPG,256,256,Potato___Late_blight,25,15,235,232
ab808dff-e0fc-42d0-ad9a-c4cb7f69e59b___RS_Early.B 9210.JPG,256,256,Potato___Early_blight,14,37,241,236
ab9b15fb-d4cc-4d67-a5bb-8b88f066c1db___RS_LB 4825.JPG,256,256,Potato___Late_blight,16,15,240,235
abb9a8c4-5d0f-443a-b7c9-780036ffe76c___RS_Early.B 7380.JPG,256,256,Potato___Early_blight,26,24,232,235
ac35ccac-2c52-4af5-b0e3-3325f45e2c97___RS_LB 2749.JPG,256,256,Potato___Late_blight,15,9,244,231
abfaeb8b-fe1e-48e6-ab8f-c9a72680420d___RS_Early.B 7427.JPG,256,256,Potato___Early_blight,48,43,230,231
ac40d7e9-e650-40f1-b894-22f495febefd___RS_Early.B 7276.JPG,256,256,Potato___Early_blight,29,64,228,191
ac42817b-71f9-4336-ad8b-bdfb4b27a64a___RS_LB 4782.JPG,256,256,Potato___Late_blight,11,10,256,249
acb59a95-cbe4-4602-9b8a-9adbf12899af___RS_Early.B 6754.JPG,256,256,Potato___Early_blight,33,42,232,237
ac6c3aea-ad58-4b46-b0d2-195dba86e0f6___RS_Early.B 7926.JPG,256,256,Potato___Early_blight,29,37,221,250
